Reference,Compilation,Location,Latitude (°N),Longitude (°E),Elevation (m),δ²H n-C29 (‰ VSMOW),δ²H n-C29 SD (±‰),Sample Type,Plant Species or Type,Functional Type,δ²H Precipitation (‰ VSMOW),δ²H Precipitation SD (±‰),Apparent Fractionation ε (‰),MAP (mm/yr),MAT (°C),Vegetation Zone,Notes,DOI,Data Source,Origin,Audit Flags
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"CZ, Asia",36.2,113.28,1028.0,-170.6,,Sediment/soil,Mixed vegetation,Mixed,-65.0,,-112.9,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"YA, Asia",36.37,109.56,1245.0,-166.0,,Sediment/soil,Mixed vegetation,Mixed,-67.0,,-106.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"JY, Asia",36.46,104.6,1720.0,-160.0,,Sediment/soil,Mixed vegetation,Mixed,-42.0,,-123.2,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 5,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"N03, Asia",36.57676667,109.4143667,1077.0,-173.9,,Sediment/soil,Mixed vegetation,Mixed,-63.0,,-118.4,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"JT, Asia",36.95,104.83,1743.0,-170.0,,Sediment/soil,Mixed vegetation,Mixed,-47.0,,-129.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 5,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"N04, Asia",37.29825,108.9454667,1427.0,-167.1,,Sediment/soil,Mixed vegetation,Mixed,-63.0,,-111.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ZW3, Asia",37.36,104.1,1635.0,-152.1,,Sediment/soil,Mixed vegetation,Mixed,-43.0,,-114.0,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ZW2, Asia",37.52,103.64,1850.0,-153.8,,Sediment/soil,Mixed vegetation,Mixed,-60.0,,-99.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 5,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ZW1, Asia",37.64,103.14,1745.0,-155.9,,Sediment/soil,Mixed vegetation,Mixed,-43.0,,-118.0,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"N05, Asia",38.37526667,109.69765,1117.0,-162.4,,Sediment/soil,Mixed vegetation,Mixed,-58.0,,-110.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ALSM1, Asia",38.97,105.66,1464.0,-148.8,,Sediment/soil,Mixed vegetation,Mixed,-51.0,,-103.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ALSYQ1, Asia",39.01,101.2,1789.0,-147.9,,Sediment/soil,Mixed vegetation,Mixed,-44.0,,-108.7,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ZY2, Asia",39.09,100.07,1604.0,-140.9,,Sediment/soil,Mixed vegetation,Mixed,-41.0,,-104.2,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ALSYQ7, Asia",39.21,102.62,1443.0,-129.5,,Sediment/soil,Mixed vegetation,Mixed,-41.0,,-92.3,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"JQ8, Asia",39.27,99.34,1683.0,-128.1,,Sediment/soil,Mixed vegetation,Mixed,-41.0,,-90.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"N07, Asia",39.27311667,106.7305333,1160.0,-149.4,,Sediment/soil,Mixed vegetation,Mixed,-48.0,,-106.5,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"N06, Asia",39.37438333,108.2947333,1390.0,-163.4,,Sediment/soil,Mixed vegetation,Mixed,-54.0,,-115.6,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ALSM2, Asia",39.4,105.69,1174.0,-152.0,,Sediment/soil,Mixed vegetation,Mixed,-48.0,,-109.2,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"JQ1, Asia",39.81,97.99,1749.0,-147.2,,Sediment/soil,Mixed vegetation,Mixed,-38.0,,-113.5,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ALS, Asia",40.3,107.6,1142.0,-160.1,,Sediment/soil,Mixed vegetation,Mixed,-52.0,,-114.0,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"SEQ, Asia",40.59,110.44,1068.0,-163.2,,Sediment/soil,Mixed vegetation,Mixed,-53.0,,-116.4,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"DK, Asia",40.8,107.5,1078.0,-148.5,,Sediment/soil,Mixed vegetation,Mixed,-53.0,,-100.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"LC, Asia",40.92,112.9,1549.0,-172.2,,Sediment/soil,Mixed vegetation,Mixed,-71.0,,-108.9,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 7,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"CB-02, Asia",42.05,127.685,883.0,-191.0,,Sediment/soil,Mixed vegetation,Mixed,-66.0,,-133.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 5,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"CB-01, Asia",42.05,127.684,882.0,-195.0,,Sediment/soil,Mixed vegetation,Mixed,-66.0,,-138.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 5,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"FS-03, Asia",42.228,127.403,703.0,-197.0,,Sediment/soil,Mixed vegetation,Mixed,-64.0,,-142.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"BYQ-05, Asia",42.3,118.304,696.0,-191.0,,Sediment/soil,Mixed vegetation,Mixed,-71.0,,-129.2,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 6,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"JY-01, Asia",42.373,126.859,601.0,-190.0,,Sediment/soil,Mixed vegetation,Mixed,-62.0,,-136.5,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"JY-05, Asia",42.409,126.683,599.0,-195.0,,Sediment/soil,Mixed vegetation,Mixed,-62.0,,-141.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"HN-01, Asia",42.627,126.253,340.0,-192.0,,Sediment/soil,Mixed vegetation,Mixed,-58.0,,-142.3,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"HN-03, Asia",42.636,126.253,344.0,-184.0,,Sediment/soil,Mixed vegetation,Mixed,-59.0,,-132.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"LY-02, Asia",42.967,124.886,255.0,-192.0,,Sediment/soil,Mixed vegetation,Mixed,-58.0,,-142.3,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"LY-05, Asia",43.092,124.728,301.0,-190.0,,Sediment/soil,Mixed vegetation,Mixed,-59.0,,-139.2,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"SP-01, Asia",43.208,124.136,135.0,-179.0,,Sediment/soil,Mixed vegetation,Mixed,-57.0,,-129.4,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"SP-02, Asia",43.209,124.136,136.0,-173.0,,Sediment/soil,Mixed vegetation,Mixed,-57.0,,-123.0,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"KQ-01, Asia",43.241,117.377,1136.0,-177.0,,Sediment/soil,Mixed vegetation,Mixed,-80.0,,-105.4,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 9,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"KQ-05, Asia",43.241,117.377,1137.0,-186.0,,Sediment/soil,Mixed vegetation,Mixed,-80.0,,-115.2,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 9,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"KQ-02, Asia",43.241,117.378,1135.0,-192.0,,Sediment/soil,Mixed vegetation,Mixed,-80.0,,-121.7,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 9,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"BYQ-01, Asia",43.299,118.302,691.0,-196.0,,Sediment/soil,Mixed vegetation,Mixed,-73.0,,-132.7,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 7,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"PS-02, Asia",43.335,125.976,298.0,-190.0,,Sediment/soil,Mixed vegetation,Mixed,-60.0,,-138.3,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"TL-09, Asia",43.547,121.709,208.0,-177.0,,Sediment/soil,Mixed vegetation,Mixed,-63.0,,-121.7,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"TL-07, Asia",43.624,121.787,200.0,-171.0,,Sediment/soil,Mixed vegetation,Mixed,-63.0,,-115.3,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"TL-03, Asia",43.624,121.786,198.0,-178.0,,Sediment/soil,Mixed vegetation,Mixed,-63.0,,-122.7,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ET-03, Asia",43.64,112.297,972.0,-178.0,,Sediment/soil,Mixed vegetation,Mixed,-62.0,,-123.7,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 9,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"KL-04, Asia",43.642,120.887,262.0,-184.0,,Sediment/soil,Mixed vegetation,Mixed,-66.0,,-126.3,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"KL-01, Asia",43.647,120.94,259.0,-177.0,,Sediment/soil,Mixed vegetation,Mixed,-66.0,,-118.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"XM-01, Asia",43.677,116.643,1183.0,-189.0,,Sediment/soil,Mixed vegetation,Mixed,-81.0,,-117.5,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 10,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"TL-01, Asia",43.751,122.602,162.0,-176.0,,Sediment/soil,Mixed vegetation,Mixed,-61.0,,-122.5,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"AQ-01, Asia",43.838,119.959,525.0,-202.0,,Sediment/soil,Mixed vegetation,Mixed,-71.0,,-141.0,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 5,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"AQ-02, Asia",43.839,119.959,525.0,-172.0,,Sediment/soil,Mixed vegetation,Mixed,-71.0,,-108.7,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 5,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"AQ-03, Asia",43.839,119.959,527.0,-185.0,,Sediment/soil,Mixed vegetation,Mixed,-71.0,,-122.7,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 5,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"AQ-05, Asia",43.839,119.959,526.0,-212.0,,Sediment/soil,Mixed vegetation,Mixed,-71.0,,-151.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 5,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"SNQ-02, Asia",43.843,113.79,1161.0,-184.0,,Sediment/soil,Mixed vegetation,Mixed,-70.0,,-122.6,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 11,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ABQ-03, Asia",43.989,114.843,1118.0,-174.0,,Sediment/soil,Mixed vegetation,Mixed,-75.0,,-107.0,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 11,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (McFarlin et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"PLK, North America",63.8,-51.19,76.0,-206.1,,Sediment/soil,Mixed vegetation,Mixed,-107.0,7.0,-111.0,,,North America,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 7,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (McFarlin et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"RTL5, North America",66.98,-50.92,65.0,-250.6,,Sediment/soil,Mixed vegetation,Mixed,-135.0,14.0,-133.6,,,North America,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 14,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (McFarlin et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"RTL2, North America",67.14,-50.08,449.0,-224.3,,Sediment/soil,Mixed vegetation,Mixed,-148.0,11.0,-89.6,,,North America,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 11,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
Ladd 2021 compilation (Mugler et al 2008),ETH Zurich: doi:10.3929/ethz-b-000412154,"Tibet 4 (CJ), Asia",30.9,90.87,4718.0,-255.0,,Sediment/soil,Mixed vegetation,Mixed,-139.0,4.0,-134.7,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Nelson et al., 2018)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Sarnen, Europe",46.869,8.219,469.0,-143.0,,Sediment/soil,Mixed vegetation,Mixed,-66.0,,-82.4,,,Europe,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Nelson et al., 2018)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Rot, Europe",47.07,8.314,419.0,-200.0,,Sediment/soil,Mixed vegetation,Mixed,-65.0,2.0,-144.4,,,Europe,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Nelson et al., 2018)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Soppen, Europe",47.09,8.081,496.0,-200.6,,Sediment/soil,Mixed vegetation,Mixed,-68.0,1.0,-142.3,,,Europe,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Nelson et al., 2018)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mauen, Europe",47.171,8.076,522.0,-200.2,,Sediment/soil,Mixed vegetation,Mixed,-67.0,1.0,-142.8,,,Europe,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Nelson et al., 2018)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Baldegg, Europe",47.2,8.26,463.0,-199.7,,Sediment/soil,Mixed vegetation,Mixed,-66.0,2.0,-143.1,,,Europe,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Nelson et al., 2018)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Greifen, Europe",47.354,8.672,439.0,-193.2,,Sediment/soil,Mixed vegetation,Mixed,-66.0,2.0,-136.2,,,Europe,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Peterse et al., 2009)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Kilimanjaro, Africa",-3.0,37.0,1727.0,-114.0,,Sediment/soil,Mixed vegetation,Mixed,-23.0,,-93.1,,,Africa,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: NA,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Peterse et al., 2009)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Kilimanjaro, Africa",-3.0,37.0,2239.0,-136.0,,Sediment/soil,Mixed vegetation,Mixed,-30.0,,-109.3,,,Africa,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: NA,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Peterse et al., 2009)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Kilimanjaro, Africa",-3.0,37.0,2124.0,-140.0,,Sediment/soil,Mixed vegetation,Mixed,-29.0,,-114.3,,,Africa,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: NA,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
